更新时间: 2026-04-11 14:44:12（北京时间）

更新时间,#genre#
2026-04-11 14:44:12,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV4K,http://106.116.240.74:9999/rtp/239.254.200.122:7266$河北省电信
兵器科技,http://106.116.240.74:9999/rtp/239.254.201.225:7249$河北省电信
风云音乐,http://106.116.240.74:9999/rtp/239.254.201.221:7259$河北省电信
风云足球,http://106.116.240.74:9999/rtp/239.254.201.222:7251$河北省电信
风云剧场,http://106.116.240.74:9999/rtp/239.254.201.219:7257$河北省电信
怀旧剧场,http://106.116.240.74:9999/rtp/239.254.201.220:7256$河北省电信
第一剧场,http://106.116.240.74:9999/rtp/239.254.201.218:7258$河北省电信
女性时尚,http://106.116.240.74:9999/rtp/239.254.201.228:7255$河北省电信
世界地理,http://106.116.240.74:9999/rtp/239.254.201.226:7254$河北省电信
央视台球,http://106.116.240.74:9999/rtp/239.254.201.171:7176$河北省电信
高尔夫网球,http://106.116.240.74:9999/rtp/239.254.201.223:7252$河北省电信
央视文化精品,http://106.116.240.74:9999/rtp/239.254.201.229:7260$河北省电信
电视指南,http://106.116.240.74:9999/rtp/239.254.201.217:7250$河北省电信
中学生,http://106.116.240.74:9999/rtp/239.254.200.113:6243$河北省电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信

卫视频道,#genre#
湖南卫视,http://115.171.216.58:4000/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://111.193.235.246:8888/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
湖南卫视,http://106.116.240.74:9999/rtp/239.254.200.48:8012$河北省电信
浙江卫视,http://115.171.216.58:4000/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://111.193.235.246:8888/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
浙江卫视,http://106.116.240.74:9999/rtp/239.254.200.53:8036$河北省电信
江苏卫视,http://115.171.216.58:4000/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://111.193.235.246:8888/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
江苏卫视,http://106.116.240.74:9999/rtp/239.254.200.51:8028$河北省电信
东方卫视,http://115.171.216.58:4000/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://111.193.235.246:8888/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
东方卫视,http://106.116.240.74:9999/rtp/239.254.200.52:8032$河北省电信
深圳卫视,http://115.171.216.58:4000/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://111.193.235.246:8888/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
深圳卫视,http://106.116.240.74:9999/rtp/239.254.200.50:8020$河北省电信
北京卫视,http://115.171.216.58:4000/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://111.193.235.246:8888/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
北京卫视,http://106.116.240.74:9999/rtp/239.254.200.47:8024$河北省电信
广东卫视,http://115.171.216.58:4000/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://111.193.235.246:8888/rtp/239.3.1.142:8048$北京市联通
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广东卫视,http://106.116.240.74:9999/rtp/239.254.200.56:8048$河北省电信
广西卫视,http://111.193.235.246:8888/rtp/239.3.1.39:8300$北京市联通
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
广西卫视,http://106.116.240.74:9999/rtp/239.254.200.80:8300$河北省电信
东南卫视,http://115.171.216.58:4000/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://111.193.235.246:8888/rtp/239.3.1.156:8148$北京市联通
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
东南卫视,http://106.116.240.74:9999/rtp/239.254.201.13:6291$河北省电信
海南卫视,http://111.193.235.246:8888/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
海南卫视,http://106.116.240.74:9999/rtp/239.254.201.125:6288$河北省电信
河北卫视,http://115.171.216.58:4000/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://111.193.235.246:8888/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河北卫视,http://106.116.240.74:9999/rtp/239.254.200.174:6000$河北省电信
河南卫视,http://111.193.235.246:8888/rtp/239.3.1.50:8184$北京市联通
